PMUN;PCAP;PTOT
1197;21;1218
121;2;123
1420;9;1429
546;6;552
321;12;333
680;16;696
2838;135;2973
3001;55;3056
510;9;519
2060;159;2219
476;8;484
671;5;676
248;7;255
120;2;122
1100;10;1110
444;5;449
1669;34;1703
128;5;133
218;4;222
1381;18;1399
490;8;498
237;4;241
901;189;1090
386;3;389
134;3;137
281;3;284
470;8;478
163;1;164
513;6;519
425;9;434
530;7;537
110;3;113
265;4;269
164;0;164
2958;70;3028
183;8;191
983;15;998
168;4;172
252;10;262
690;9;699
5235;74;5309
268;1;269
134;2;136
81;0;81
41;1;42
664;12;676
444;6;450
56;0;56
136;2;138
113;6;119
560;10;570
287;10;297
80;2;82
953;26;979
240;2;242
71;2;73
333;3;336
1301;20;1321
2751;39;2790
4645;78;4723
238;12;250
390;3;393
258;5;263
324;7;331
130;4;134
574;7;581
242;2;244
610;5;615
1578;35;1613
347;10;357
197;5;202
861;9;870
159;3;162
174;5;179
135;8;143
129;5;134
209;123;332
24;1;25
8710;187;8897
1367;39;1406
1452;46;1498
56;2;58
160;3;163
225;2;227
1015;35;1050
225;6;231
659;16;675
264;2;266
206;0;206
311;6;317
141;5;146
141;6;147
64;1;65
1252;20;1272
284;4;288
607;5;612
148;4;152
194;2;196
37;2;39
260;7;267
190;0;190
535;5;540
132;5;137
199;9;208
24304;666;24970
268;4;272
244;10;254
203;4;207
100;1;101
244;4;248
201;5;206
160;4;164
420;10;430
116;0;116
223;4;227
269;9;278
829;11;840
106;1;107
805;10;815
422;8;430
104;0;104
172;3;175
540;10;550
138;1;139
74;2;76
122;1;123
1281;119;1400
383;9;392
189;5;194
221;8;229
79;0;79
249;9;258
1177;20;1197
138;0;138
188;3;191
90;1;91
203;6;209
121;0;121
282;6;288
118;1;119
147;5;152
121;4;125
66;3;69
366;4;370
124;1;125
236;10;246
404;8;412
404;3;407
204;1;205
299;4;303
404;10;414
820;17;837
161;8;169
201;1;202
383;6;389
231;2;233
89;2;91
365;2;367
513;7;520
133;0;133
51;1;52
2235;29;2264
485;13;498
435;12;447
135;2;137
409;7;416
215;1;216
392;4;396
669;14;683
964;21;985
261;8;269
312;3;315
473;16;489
54;1;55
513;10;523
527;3;530
94;4;98
107;1;108
627;9;636
156;2;158
342;7;349
126;3;129
324;9;333
454;8;462
224;6;230
127;2;129
1046;15;1061
100;1;101
1154;29;1183
763;13;776
43;2;45
810;19;829
93;2;95
1324;9;1333
831;2;833
1616;28;1644
206;5;211
195;6;201
31;1;32
151;6;157
156;0;156
151;2;153
295;4;299
270;5;275
138;2;140
704;15;719
55;6;61
67;1;68
299;5;304
303;3;306
186;4;190
741;7;748
1364;14;1378
74;2;76
72;1;73
694;15;709
577;13;590
99;3;102
458;9;467
228;5;233
178;1;179
78;1;79
118;1;119
986;18;1004
111;8;119
48;1;49
113;5;118
103;1;104
202;1;203
70;0;70
702;8;710
1227;36;1263
421;6;427
82;2;84
2066;34;2100
616;14;630
187;2;189
193;4;197
66;1;67
377;7;384
846;25;871
115;3;118
115;0;115
187;9;196
244;4;248
1071;22;1093
2108;46;2154
81;1;82
127;0;127
2557;28;2585
462;4;466
246;4;250
153;4;157
212;2;214
164;3;167
495;5;500
291;3;294
1104;23;1127
279;8;287
162;4;166
471;3;474
177;0;177
717;75;792
502;9;511
60;1;61
1432;28;1460
1670;14;1684
330;8;338
90;1;91
86;1;87
125;9;134
816;10;826
323;1;324
76;2;78
54;2;56
121;6;127
259;7;266
139;6;145
355;7;362
68;2;70
261;0;261
169;4;173
135;1;136
192;4;196
1064;21;1085
132;6;138
133;0;133
763;15;778
669;18;687
255;3;258
347;5;352
197;2;199
1698;27;1725
84;1;85
192;5;197
70;3;73
78;3;81
473;2;475
20;0;20
736;11;747
127;1;128
605;11;616
265;7;272
360;5;365
211;3;214
508;4;512
694;12;706
658;0;658
347;9;356
379;15;394
54;0;54
97;3;100
275;66;341
142;2;144
334;7;341
123;3;126
217;6;223
311;12;323
411;5;416
57;1;58
60;0;60
82;4;86
146;5;151
199;5;204
293;10;303
237;1;238
346;7;353
157;4;161
111;4;115
173;3;176
769;8;777
346;13;359
192;9;201
60;0;60
1937;38;1975
307;4;311
357;6;363
106;1;107
104;1;105
500;13;513
82;1;83
135;0;135
394;10;404
250;4;254
236;8;244
504;13;517
38;2;40
254;3;257
322;9;331
221;5;226
123;3;126
300;5;305
1002;17;1019
203;6;209
1057;21;1078
151;0;151
287;5;292
261;4;265
444;7;451
48;0;48
133;1;134
1716;40;1756
240;3;243
68;0;68
150;4;154
2294;37;2331
279;5;284
114;3;117
110;3;113
3314;57;3371
120;1;121
373;4;377
333;9;342
48;4;52
41;1;42
80;1;81
53570;1281;54851
221;3;224
641;10;651
81;0;81
76;3;79
384;5;389
101;2;103
280;3;283
708;8;716
602;22;624
1083;13;1096
247;4;251
210;6;216
566;11;577
181;0;181
215;8;223
407;8;415
742;18;760
293;7;300
142;3;145
270;4;274
358;2;360
45;3;48
290;5;295
590;13;603
121;3;124
2028;41;2069
2034;74;2108
476;2;478
28712;651;29363
98;1;99
61;1;62
139;6;145
181;3;184
221;3;224
264;4;268
81;1;82
267;6;273
171;2;173
104;0;104
274;6;280
17;0;17
167;5;172
552;12;564
13588;200;13788
335;7;342
221;6;227
539;5;544
114;0;114
158;1;159
72;2;74
121;1;122
658;8;666
83;0;83
939;24;963
219;7;226
583;8;591
144;2;146
281;5;286
328;4;332
185;3;188
589;10;599
684;12;696
529;8;537
2012;37;2049
370;3;373
142;3;145
211;4;215
139;5;144
219;4;223
88;3;91
246;10;256
235;6;241
322;3;325
542;6;548
898;14;912
788;20;808
160;1;161
39;0;39
118;1;119
936;17;953
558;12;570
142;7;149
97;1;98
219;3;222
1378;17;1395
453;16;469
220;2;222
138;0;138
138;0;138
1100;30;1130
127;2;129
258;2;260
460;7;467
2587;96;2683
238;3;241
259;6;265
157;7;164
119;1;120
188;4;192
1618;18;1636
83;0;83
172;1;173
1221;19;1240
407;9;416
313;5;318
272;3;275
209;0;209
146;5;151
186;3;189
2549;44;2593
294;5;299
656;24;680
289;5;294
69;3;72
10424;417;10841
207;6;213
252;8;260
162;0;162
430;17;447
531;6;537
82;1;83
1166;11;1177
116;1;117
1688;43;1731
680;21;701
391;12;403
74;0;74
375;8;383
356;7;363
312;5;317
94;0;94
42;1;43
955;16;971
379;6;385
189;5;194
508;7;515
169;6;175
2904;60;2964
309;12;321
987;27;1014
253;7;260
338;3;341
633;17;650
357;7;364
372;14;386
135;36;171
424;13;437
421;9;430
323;5;328
3953;96;4049
136;3;139
328;11;339
143;2;145
189;6;195
685;14;699
1640;24;1664
294;7;301
224;2;226
997;17;1014
8741;231;8972
237;6;243
1328;31;1359
761;18;779
928;24;952
364;7;371
783;12;795
856;15;871
291;9;300
244;2;246
181;4;185
496;12;508
212;4;216
2572;72;2644
259;2;261
521;8;529
384;7;391
1126;38;1164
319;12;331
530;17;547
1189;75;1264
1516;36;1552
849;18;867
1026;23;1049
407;9;416
1305;24;1329
428;10;438
179;10;189
301;6;307
1093;29;1122
1102;25;1127
237;6;243
966;17;983
382;7;389
201;6;207
238;6;244
359;7;366
1030;17;1047
394;6;400
351;17;368
1028;20;1048
180;1;181
544;9;553
324;5;329
138;4;142
104;1;105
312;6;318
133;1;134
248;3;251
492;12;504
638;11;649
656;15;671
168;2;170
227;7;234
128;3;131
231;8;239
303;8;311
691;11;702
327;12;339
6132;189;6321
580;13;593
2034;31;2065
646;55;701
321;8;329
597;7;604
320;2;322
152;1;153
305;8;313
438;9;447
628;13;641
1185;27;1212
3297;102;3399
12474;481;12955
86;1;87
360;9;369
4459;87;4546
391;11;402
1381;35;1416
8729;166;8895
3032;59;3091
1065;25;1090
1169;32;1201
357;7;364
1316;105;1421
1270;27;1297
376;6;382
781;32;813
968;26;994
1112;24;1136
668;9;677
536;16;552
279;7;286
341;7;348
191;5;196
475;12;487
5830;197;6027
413;4;417
710;12;722
647;17;664
236;6;242
219;3;222
124;2;126
1167;13;1180
620;10;630
2645;57;2702
312;13;325
279;6;285
550;13;563
559;15;574
519;10;529
193;3;196
407;9;416
235;5;240
271;6;277
3144;73;3217
313;11;324
1154;33;1187
149;2;151
242;5;247
92;3;95
211;8;219
736;13;749
154;35;189
167;2;169
349;6;355
441;16;457
203;7;210
159;3;162
231;7;238
276;4;280
1881;42;1923
1688;54;1742
1020;23;1043
871;19;890
780;15;795
410;4;414
900;29;929
202;6;208
751;22;773
273;2;275
1384;86;1470
306;5;311
286;4;290
906;15;921
331;6;337
129;6;135
249;6;255
122;2;124
1142;33;1175
914;25;939
278;12;290
541;10;551
253;3;256
298;6;304
297;10;307
662;11;673
296;3;299
263;1;264
469;4;473
505;8;513
34361;1070;35431
1524;21;1545
630;9;639
219;1;220
715;24;739
19246;542;19788
280;8;288
150;3;153
187;4;191
125;2;127
2570;94;2664
221;3;224
1453;32;1485
187;0;187
1520;256;1776
304;13;317
603;15;618
387;9;396
623;18;641
440;11;451
168;6;174
512;13;525
423;9;432
151;3;154
399;10;409
2507;49;2556
1512;25;1537
252;4;256
382;3;385
550;8;558
172;3;175
761;35;796
272;8;280
215;5;220
710;15;725
730;8;738
90;5;95
441;14;455
288;7;295
444;10;454
250;5;255
373;8;381
38;0;38
612;18;630
526;16;542
188;5;193
303;9;312
395;8;403
373;11;384
969;10;979
3654;70;3724
427;9;436
529;9;538
265;9;274
543;11;554
368;46;414
568;14;582
121;6;127
128;2;130
124;1;125
594;12;606
1106;33;1139
165;2;167
162;2;164
349;6;355
376;9;385
677;15;692
379;10;389
5221;118;5339
143;4;147
214;5;219
803;23;826
1737;26;1763
338;3;341
224;5;229
178;7;185
2092;38;2130
194;8;202
2570;53;2623
671;78;749
272;8;280
664;24;688
386;3;389
85;2;87
143;5;148
805;32;837
282;7;289
492;15;507
318;6;324
1747;49;1796
102;6;108
254;5;259
191;4;195
556;10;566
182;9;191
391;3;394
372;13;385
1065;18;1083
290;9;299
178;8;186
1138;20;1158
379;9;388
384;8;392
514;12;526
1630;59;1689
415;13;428
879;12;891
283;10;293
168;1;169
76;0;76
376;12;388
1538;26;1564
3618;73;3691
229;8;237
537;9;546
1166;26;1192
39;1;40
236;10;246
2249;59;2308
593;15;608
1918;52;1970
236;3;239
152;4;156
454;10;464
24980;322;25302
305;7;312
274;10;284
275;9;284
1322;36;1358
1283;37;1320
1073;16;1089
294;8;302
484;10;494
776;17;793
12838;517;13355
1432;28;1460
546;30;576
133;2;135
