id_mutation;Date_mutation;Nature_mutation;valeur_fonciere;id_bien_immo
278;04/01/2020;Vente;75200;278
279;04/01/2020;Vente;176000;279
280;04/01/2020;Vente;123000;280
281;04/01/2020;Vente;87900;281
282;04/01/2020;Vente;57200;282
283;04/01/2020;Vente;74000;283
284;06/01/2020;Vente;285000;284
285;06/01/2020;Vente;429250;285
286;06/01/2020;Vente;196000;286
287;06/01/2020;Vente;443000;287
288;06/01/2020;Vente;170000;288
289;06/01/2020;Vente;128600;289
290;06/01/2020;Vente;81000;290
291;06/01/2020;Vente;335000;291
292;06/01/2020;Vente;212200;292
293;06/01/2020;Vente;643815;293
294;06/01/2020;Vente;113200;294
295;06/01/2020;Vente;88000;295
296;06/01/2020;Vente;99500;296
297;06/01/2020;Vente;90000;297
298;06/01/2020;Vente;68600;298
299;06/01/2020;Vente;52000;299
300;06/01/2020;Vente;207500;300
301;06/01/2020;Vente;237000;301
302;06/01/2020;Vente;72200;302
303;06/01/2020;Vente;318000;303
304;06/01/2020;Vente;330850;304
305;06/01/2020;Vente;144950;305
306;06/01/2020;Vente;144000;306
307;06/01/2020;Vente;82000;307
308;06/01/2020;Vente;298000;308
309;06/01/2020;Vente;91000;309
310;06/01/2020;Vente;265000;310
311;06/01/2020;Vente;197000;311
312;06/01/2020;Vente;375000;312
313;06/01/2020;Vente;104000;313
314;06/01/2020;Vente;173000;314
315;06/01/2020;Vente;275000;315
316;06/01/2020;Vente;160000;316
317;06/01/2020;Vente;110000;317
318;06/01/2020;Vente;53900;318
319;06/01/2020;Vente;206300;319
320;06/01/2020;Vente;72000;320
321;06/01/2020;Vente;188900;321
322;06/01/2020;Vente;65000;322
323;06/01/2020;Vente;149500;323
324;06/01/2020;Vente;150900;324
325;06/01/2020;Vente;90000;325
326;06/01/2020;Vente;106000;326
327;06/01/2020;Vente;86000;327
328;06/01/2020;Vente;46000;328
329;06/01/2020;Vente;72000;329
330;06/01/2020;Vente;88000;330
331;06/01/2020;Vente;137000;331
332;06/01/2020;Vente;360000;332
333;06/01/2020;Vente;33000;333
334;06/01/2020;Vente;122450;334
335;06/01/2020;Vente;99750;335
336;06/01/2020;Vente;153300;336
337;06/01/2020;Vente;172950;337
338;06/01/2020;Vente;71530;338
339;06/01/2020;Vente;78000;339
340;06/01/2020;Vente;204000;340
341;06/01/2020;Vente;155000;341
342;06/01/2020;Vente;134000;342
343;06/01/2020;Vente;97000;343
344;06/01/2020;Vente;162000;344
345;06/01/2020;Vente;142200;345
346;06/01/2020;Vente;214000;346
347;06/01/2020;Vente;240000;347
348;06/01/2020;Vente;120000;348
349;06/01/2020;Vente;75200;349
350;06/01/2020;Vente;33000;350
351;06/01/2020;Vente;31000;351
352;06/01/2020;Vente;43000;352
353;06/01/2020;Vente;44950;353
354;06/01/2020;Vente;138000;354
355;06/01/2020;Vente;221300;355
356;06/01/2020;Vente;291000;356
357;06/01/2020;Vente;145000;357
358;06/01/2020;Vente;106000;358
359;06/01/2020;Vente;87000;359
360;06/01/2020;Vente;127900;360
361;06/01/2020;Vente;47000;361
362;06/01/2020;Vente;105003;362
363;06/01/2020;Vente;37000;363
364;06/01/2020;Vente;85500;364
365;06/01/2020;Vente;88000;365
366;06/01/2020;Vente;30500;366
367;06/01/2020;Vente;52381;367
368;06/01/2020;Vente;46000;368
369;06/01/2020;Vente;86000;369
370;06/01/2020;Vente;120300;370
371;06/01/2020;Vente;158500;371
372;06/01/2020;Vente;270000;372
